country,reference_information,examples,additional_information
Peru,"There are two primary address formats. For the Metropolitan Area of Lima and Callao, the format is: Name, Street name and number, Apartment (if needed), District, Postal code. For the rest of the country, the format is: Name, Street name and number, Apartment (if needed), District, City (province).","Roberto Prada
Juan de Aliaga 230
Dpto 12
Magdalena del Mar
Lima 17

---

Camilo Rada
Av. del Ejército 450
Dpto 5
Yanahuara
Arequipa","The address format differs between the Metropolitan Area of Lima and Callao and the rest of the country. Addresses in Lima and Callao include a postal code, while addresses elsewhere use the city (province) name on the last line."
Philippines,"The Philippines follows Western addressing conventions. The format varies based on the origin and destination of the mail.

Format within Metro Manila:
Addressee
Street number Street name
Barangay / Administrative district
ZIP Code City (in capitals)

Format from outside Metro Manila to Metro Manila:
Addressee
Street Number, Street Name
Barangay/Administrative district, City/Municipality
Postcode METRO MANILA

Format to provinces:
Addressee
Street number Street name
Barangay/Administrative district, City/Municipality
Postcode Name of Province (in capitals)

Format to a residential area (subdivision, purok/sitio):
House number, Street name, Subdivision/Residential area
Barangay/Administrative district, City/Municipality
Postcode Metro Manila/Province name (in capitals)","Mr. Juan Dela Cruz
123 Rizal Ave., Santa Cruz
1014 MANILA
---
Mr. Juan Maliksi
121 Epifanio Delos Santos Ave., Wack-wack Greenhills, Mandaluyong
1550 METRO MANILA
---
Mr. Joel Magalang
23 MacArthur Hwy., San Matias, Santo Tomas
2020 PAMPANGA
---
Ms. Joanna Dela Cruz
B11-L20 Genesis St., San Lorenzo South Subdivision
Malitlit, Santa Rosa
4026 LAGUNA
---
Mr. Juan Galang
10 Saint John St., Purok 7
San Nicolas 1st, Guagua
2003 PAMPANGA","The city name (for Metro Manila) or the province name should be written in all capital letters on the last line, following the ZIP code. Addresses for residential areas can include details like a subdivision name or smaller territorial units such as a 'purok' or 'sitio'. House numbers in subdivisions are often formatted as Block and Lot numbers (e.g., B11-L20)."
Poland,"The address is generally formatted as follows:
Line 1: First name & surname of addressee and/or company name & department
Line 2: Street information, which can be 'ul. Street name + house number / flat number', 'al. Avenuename + house number / flat number', 'pl. Squarename + house number / flat number', or for small towns/villages, 'Village name + house number'. The abbreviation 'm.' (mieszkanie) can be used instead of '/' before the flat number.
Line 3: Postal code + City or town
Line 4: Country name (optional)
For a PO box, the format is: Name, 'skrytka pocztowa nr [box number]', 'Postal code + CITY [post office number]'.","Example:
Jan Kowalski
ul. Wiejska 4/6
00-902 WARSZAWA
POLAND (POLSKA)

---

Example (PO box):
Jan Kowalski
skrytka pocztowa nr 266
60-700 POZNAŃ 2","The postal code always consists of five digits separated by a hyphen in the 'XX-XXX' format. The name after the postal code is the locality of the addressee, not their post office. There is a strong recommendation to use all caps for the line containing the postal code and city. Common abbreviations include 'ul.' (Street), 'al.' (Avenue), and 'pl.' (Square). For PO boxes, 'skr. poczt.' can be used. Some building numbers can be complex (e.g., '3/5/7') if the building occupies multiple plots, which can make a number like '4/6' ambiguous without local knowledge."
Portugal,"The address structure consists of four lines: Addressee, Street name + Street number + door/floor information, Postal code + Town, and Country. The street name and number are traditionally separated by a comma, but a blank space is now recommended. The floor number is indicated by 'º', often followed by 'Esq.' (Left), 'Dir.' (Right), or an apartment letter. PO Boxes are written as 'Apartado' followed by a number.","José Saramago
Rua da Liberdade, 34, 2º Esq.
4000-000 Porto
Portugal

---

José Saramago
Rua da Liberdade 34  2 Esq
4000-000 Porto
Portugal

---

José Saramago
Apartado 1234
4000-000 Porto
Portugal",Postal codes have the format NNNN-NNN. The postal service (CTT) recommends using a blank space instead of a comma between the street name and number to avoid OCR mistakes. 'Esq.' is an abbreviation for 'Esquerdo' (Left) and 'Dir.' is an abbreviation for 'Direito' (Right). PO Boxes are called 'Apartado'.
Qatar,"The recommended address format consists of four lines: Name of addressee, P.O. Box number, Name of town, and Country.","Mr. Ali Al-Matwi
P.O. Box 1714
Doha
Qatar",Q-Post does not deliver to street addresses because not all roads and buildings are numbered. No postal codes are used in Qatar.
Romania,"The address is generally formatted as follows, with each component on a new line or grouped logically:
1. Addressee and/or company name & department
2. Street line: Street Type + Street Name + 'nr.' (street number) + Number
3. Building/Apartment line: 'bl.' (building) + Building number + 'sc.' (entrance) + Entrance number/letter + 'et.' (floor number) + Floor number + 'ap.' (apartment number) + Number
4. Locality line: City/village + 'jud.' (county) / 'sector' (for Bucharest) + County name/sector number + Postal code
5. Country name (optional)","Mihail Ionescu
str. Pacienței, nr. 9
bl. U13A, sc. M
et. 7, ap. 96
Victoria, jud. Brașov, 505722
România

---

Gheorghe Codreanu
str. Virtuții, nr. 44
București, sector 6, 313988
România","For addresses in Bucharest, 'sector' is used instead of 'jud.' (county). According to the National agency for cadastral and real estate publicity (ANCPI), there are 29 official street types. Common abbreviations for these street types include: Al. (Alee), Bd. (Bulevard), Intr. (Intrare), Prel. (Prelungire), Șos. (Șosea), Spl. (Splai), Str. (Stradă), and Var. (Variantă)."
Russia,"The address is written from most specific to general, in either Cyrillic or Latin alphabet. The structure is: 1. Name of addressee, 2. Street name, building number (д. or d.), apartment/room (кв. or kv.), 3. City/town/village (пос. or pos.), 4. Raion (Sub-region) (р-н or r-n), 5. Oblast (region) (обл. or obl.), 6. Postal code, 7. Country.","Cyrillic example:
Гусев Иван Сергеевич
ул. Победы, д. 20, кв. 29
пос. Октябрьский
Борский р-н
Нижегородская обл.
606480
Россия

Latin example:
Gusev, Ivan Sergeyevich
ul. Pobedy, d. 20, kv. 29
pos. Oktyabrskiy
Borskiy r-n
Nizhegorodskaya obl.
606480
RUSSIA","The sub-region (Raion) and region (Oblast) names are omitted if the city is Moscow, Saint Petersburg, or a sub-region administrative center. For buildings without a named street, different formats are used. In older areas, subsidiary buildings are designated with 'str.' (строение), e.g., 'ul. Lenina, d. 123, str. 2'. In newer areas, Cyrillic letters are appended to the building number, like '123-а'. In microraion neighborhoods, the microraion's name or number can replace the street name, e.g., '4-th microrayon, d. 123, kv. 56'."
Saudi Arabia,"The address format is structured as follows: Addressee on the first line, followed by Building Number + Street Name + Neighbourhood (if applicable) on the second line, then City + Postal code + Additional Numbers on the third line, and finally 'Kingdom of Saudi Arabia' on the last line.","Mohammed Ali Al-Ahmed
8228 Imam Ali Road – Alsalam Neighbourhood
Riyadh 12345-6789
Kingdom of Saudi Arabia",The address can be written in either Arabic or English. The postal code is followed by a hyphen and four 'Additional Numbers'.
Serbia,"The address format consists of the following lines in order: Addressee, Street name + Number, Postal code + Town. The Country name is added as a final line if mailing from a country other than Serbia.","Petar Petrović
Krunska 5
11000 Beograd","In addition to the 5-digit postal code, another line can be added containing PAK, a six-digit number which encodes the town, street and house number section."
Singapore,"The recommended format includes: Name of addressee, followed by street information. For landed properties, this is 'Street number and name'. For high-rise buildings, it includes 'Block number and street name' on one line and 'Floor – Apartment number + Building name' on the next. The subsequent line is 'Name of town + Postcode'.","Ms. Tan Bee Soo
16 Sandilands Road
SINGAPORE 546080
SINGAPORE

---

Mr. M. Rajendran
Blk 35 Mandalay Road
# 13–37 Mandalay Towers
SINGAPORE 308215
SINGAPORE","Generally, the last line 'SINGAPORE' is omitted when posting within the country. Addresses are usually written in the English language."
Slovakia,"The address format consists of the following lines: 
1. Addressee (Name or Company)
2. Company or Department or Landlord (if applicable)
3. Street name + number
4. Postal code + Town
5. COUNTRY (if sent abroad)","Jozef Vymyslený
Firma s.r.o.
Nezábudková 3084/25
84545 Bratislava
Slovensko","Postal codes are in the format '### ##'. Street numbers can be orientation numbers (related to the street), descriptive numbers (unique within the town), or a combination separated by a slash (descriptive/orientation). Descriptive numbers are also used in small villages without named streets. If a delivery is for a specific person at a company, their name should be on the first line, followed by the company name. For more details, see the official postal service guide: http://www.posta.sk/potrebujem/spravne-napisat-adresu."
Slovenia,"The address format depends on the type.
Street Address: Consists of the optional Company name and/or Recipient's name, followed by the Street and number on the next line, and finally the Postcode and Post town on the last line.
Locality Address (for places with unnamed streets): Consists of the optional Company name and/or Recipient's name, followed by the Location (village, hamlet, etc.) and number on the next line, and the Postcode and Post town on the last line.
PO Box Address (poštni predal): Consists of the optional Company name and/or Recipient's name, followed by 'p. p. + number' on the next line, and the Postcode and Post town on the last line.
Special Postcode Holders: Consists of the Company name on the first line and the special Postcode and Post town on the second line.
Poste Restante: Consists of the Recipient's name, followed by 'POŠTNO LEŽEČE' on the next line, and the Postcode and Post town on the last line.","Street address:
Cvet, d. o. o.
G. Janez Novak
Slovenska cesta 64 A
2241 Spodnji Duplek
---
Locality address:
Juha, s. p.
Ga. Angela Kovač
Pleterje 489
22324 Kidričevo
---
PO Box address:
Vino, d. d.
Gdč. Marija Repar
p. p. 12
1234 Mengeš
---
Special postcode holders:
Nova Ljubljanska banka
1520 Ljubljana
---
Poste restante:
G. Peter Šilj
POŠTNO LEŽEČE
4270 Jesenice","Slovenia uses a four-digit postal number where the first digit indicates the region (e.g., 1xxx for Ljubljana, 2xxx for Maribor). Simpler codes represent larger localities (e.g., 1000 Ljubljana). Some cities have multiple postcodes (e.g., Ljubljana has 1101-1133), but using the general code is acceptable. Special postcodes are assigned to PO Boxes in larger towns (xxx1 format) and to large companies that receive a high volume of mail (x5xx format). House numbers can have a letter suffix (A, B, C). Common abbreviations include: g. (Mr), ga. (Mrs), gdč. (Miss), c. (cesta/Street), and ul. (ulica/Road)."
South Korea,"South Korean addresses can be written in two main formats. The Korean order format starts with the largest division and ends with the smallest, followed by the recipient and postal code. The structure is: Country Name, Provincial/Metropolitan Division, County/District Subdivision, Street Name and Number, Secondary Unit, Recipient, Postal Code. The Western order format starts with the recipient and the smallest address unit. The structure is: Recipient, Secondary Unit, Street Name and Number, City/Province and Postal Code, Country Name. Address components are typically ordered from largest to smallest geographical unit: Provincial-level division (e.g., Seoul-teukbyeolsi), County- or district-level subdivision (e.g., Jongno-gu), Street name and number (e.g., Sajik-ro 9-gil 23), and Secondary unit (e.g., 102-dong 304-ho).","Korean Order (Romanized):
(Daehan-minguk)
Seoul-teukbyeolsi, Jongno-gu, Sajik-ro 9-gil 23,
102-dong 304-ho
Hong Gil-dong gwiha
30174

---

English, Western Order:
Mr. Gil-dong Hong
Apt. 102–304
23 Sajik-ro 9-gil
Jongno-gu, Seoul 30174
(South Korea)

---

English, Alternative Western Order:
Mr. Gil-dong Hong
Bldg. 102 Unit 304
23 Sajik-ro 9-gil
Jongno-gu, Seoul 30174
(South Korea)","South Korea uses a 5-digit postal code. The current addressing system is similar to Western addressing, though a previous system was similar to Japanese addressing. When writing in Korean order, addresses start with the largest unit (country, province). Common secondary unit designators include 'dong' (동) for building and 'ho' (호) for apartment/unit number. The term 'gwiha' (귀하) is a polite suffix added after the recipient's name. Anglicized versions of administrative divisions are common in English addresses (e.g., 'Seoul (Special City)' for 'Seoul-teukbyeolsi', 'Jongno (District)' for 'Jongno-gu')."
Spain,"The address is structured as follows:
Line 1: Recipient name
Line 2: Street type, name, number, storey and door
Line 3: Postal code and city
Line 4: Province","Sr. Francisco Ansó García
Paseo de la Castellana, 185, 5º B
29001 Madrid
Madrid

---

Dña. Antonia Fernandez Garcia
Av. de las Delicias, 14, 1º Dcha.
29001 Madrid
Madrid","Storey and door information: '5ºB' means 5th floor (quinto), door B. A door number can be printed as '1ª' (primera-first). The suffixes 'o' and 'a' derive from the Spanish words 'piso' (floor, masculine) and 'puerta' (door, feminine). Doors may also be indicated with abbreviations like 'Izq.' (Izquierda - left) or 'Dcha.' (Derecha - right). Streets and avenues can be indicated with the abbreviations 'C.' (for calle) and 'Av.' (for avenida)."
Sri Lanka,"The recommended format is: Name of addressee, Street number and name, Name of town, Postcode, Country.","Mr. A. L. Perera
201 Silkhouse Street
KANDY
20000
SRI LANKA",Sri Lanka uses a five-digit postal code. The country name is generally omitted when posting within the country. Addresses are usually written in English and Sinhala.
Sweden,"A Swedish address consists of a location address (belägenhetsadress), postal code, and post town. The location address includes an address area (street or village name, sometimes followed by a farm name) and an address place (a number, possibly with a letter suffix). The general format is: Addressee, Location Address (e.g., Street name + number), and Postal code + Post town. For apartments, a four-digit apartment number is added.","Urban:
Anna Björklund
Storgatan 1
112 01 Stockholm
SWEDEN

Urban with apartment number:
Johan Persson
Koppargränd 2 lgh 1105
331 51 Ösund
SWEDEN

Rural with farm name:
Sven Nilsson
Lillbyn Sörgården 2A
345 67 Storbyn
SWEDEN

PO box:
Postbolagen AB
Box 1121
111 81 Stockholm
SWEDEN","The postal code is a five-digit number. The prefix 'SE' (ISO-code for Sweden) is used only if the mail is sent from abroad. If multiple residences share a location address, each has a four-digit apartment number (e.g., lgh 1105), which is part of the address but is sometimes omitted."
Switzerland,"The address is generally formatted as follows: Salutation, Recipient name, Street name and number, Postal code, city and (if needed) canton, Country (if sent abroad).","Example (German):
Herrn
Rudolf Weber
Marktplatz 1
4051 Basel
Switzerland

---

Example (German with canton):
Frau
Claudia Weber
Solothurnerstrasse 28
2544 Bettlach SO
Switzerland

---

Example (French):
Monsieur
Pierre Dupont
Rue Pépinet 10
1003 Lausanne
Switzerland

---

Example (French with canton):
Madame
Sophie Dupont
Rue du Marché 8
1556 Cerniaz VD
Switzerland","The canton abbreviation (e.g., SO, VD) is needed only for cities/towns that have the same name but are in different cantons. For example, Renens is often mentioned as Renens VD to distinguish it from Renan, as both were historically called Renens."
Taiwan,"There are multiple address formats for Taiwan depending on the context. 
1. Chinese-language domestic mail (horizontal): Postal Code, County/City, Township/District, Road/Street Name, Building Number, Floor, Name. 
2. English-language international mail: Name/Company, Floor, Number, Alley, Lane, Road/Street Name, Township and District, County and City, Postal Code, Country. 
3. Complete address for Department of Household Registration: Floor, Number, Alley, Lane, Road/Street Name, Neighbourhood, Village, Township and District, County and City.","Chinese-language domestic mail (horizontal): 11060 台北市信義區市府路2號2樓 王小明收

English-language international mail: Mr. Wang, 2F., No.2, Shifu Rd., Xinyi Dist., Taipei City 11060, Taiwan

Complete address for Department of Household Registration: 2F., No.2, Shifu Rd., Neighbourhood 8, Xicun Vil., Xinyi Dist., Taipei City, Taiwan","Addresses are regulated by the Department of Household Registration, while mail is handled by Chunghwa Post, resulting in different required formats for different situations. The address format for the Department of Household Registration is more detailed, including 'Neighbourhood' and 'Village' information."
Thailand,"Name Surname
House (building) number / Flat number
Sub-District, District
Province
Postal code
Country","Mr. Siam Rakchart
238/54 Phaithong Village
Bang Yai, Bang Yai
Nonthaburi
11140
Thailand",
Türkiye,"The address is structured as follows:
1. Natural person
2. Organisation and department or position (both optional)
3. Neighbourhood or village
4. Street name (if applicable)
5. Building name (if applicable)
6. Building number
7. Floor number (optional)
8. Flat number (if applicable)
9. Postal code + Town (if applicable) + District (if applicable) + Province
10. Country (for international mail)","AHMET KORKMAZ
ETİLER MAH.
BADEM SOK. TOPRAK APT. NO:13 K:4 D:8
34732 BEŞİKTAŞ / İSTANBUL
TURKEY","Optional components include: Organisation and department or position, and Floor number. Components to be included if applicable are: Street name, Building name, Flat number, Town, and District. The country name is required for international mail."
Ukraine,"The address format is structured as follows, in order: Name of addressee, Street name with building/apartment number, Village/city/town, Raion (district) and Oblast (region), 5-digit postal code, and Country name (Україна or UKRAINE).","Cyrillic example:
Петренко Іван Леонідович
вул. Шевченка, буд. 17
м. Біла Церква
Київська обл.
09117
Україна

---

Latin example:
Petrenko Ivan Leonidovych
vul. Shevchenka, bud. 17
m. Bila Tserkva
Kyivs'ka obl.
09117
UKRAINE","For apartment buildings not on a named street, special formats are used. A subsidiary building behind a main one is noted with 'bud.' (будинок), e.g., 'vul. Bandery, d. 123, bud. 2'. In newer areas, Cyrillic letters are appended to building numbers (e.g., 123-а, 123-б). In 'microraion' neighborhoods, the microraion name or number can replace the street name, e.g., '4-th microrayon, bud. 123, kv. 56'."
United Arab Emirates,"The recommended format includes four lines: Name of addressee, P.O. Box number, Name of the Emirate, and Country.","Mr. Ali Al-Matwi
P.O. Box 1714
Dubai
United Arab Emirates (UAE)","No postal codes are used in the United Arab Emirates. All mail is delivered only to PO boxes. Since roads and buildings are not consistently numbered, it is customary to include the recipient's telephone number for street address deliveries so the driver can make contact if needed."
United Kingdom,"The address format specified by Royal Mail is as follows: Addressee's name, followed by Number supplement and street name, then an optional Locality, followed by the POST TOWN, and finally the POSTCODE. The post town and postcode should each be on a separate line.","Mr A Smith
3a High Street
Hedge End
SOUTHAMPTON
SO31 4NG","The locality is only required where its absence would cause ambiguity, for example, where a post town includes two streets with the same name. Royal Mail specifies that post towns should be written in block capitals. Royal Mail discourages using commas at the end of lines and indenting/staggering lines; all lines should start from the same point. The postcode's first half (outward code) contains the postcode area and district, while the second half (inward code) contains the postcode sector and unit."
United States,"The general format consists of three lines: 1. Name of addressee. 2. House number and street name, plus an apartment/suite/room number if applicable. 3. Name of the post office (city), state abbreviation, and ZIP code. The USPS-recommended format uses all capital letters and a ZIP+4 code. Mail is delivered to the address line immediately preceding the city, state, and ZIP code line.","Jeremy Martinson Jr.
455 Larkspur Dr. Apt 23
Baviera, CA 92908
---
JEREMY MARTINSON JR
455 LARKSPUR DR APT 23
BAVIERA CA 92908‑4601","The USPS discourages most punctuation, except for the hyphen in ZIP+4 codes and in certain street numbers. Rural addresses may use formats like 'RR 9 BOX 19-1A' (Rural Route) or 'HC 68 BOX 23A' (Highway Contract). Regional variations exist: Queens (NY), Hawaii, and Southern California often use hyphens in street numbers (e.g., '123–45 QUEENS BLVD'). Utah uses a grid system (e.g., '401 West 500 North'). Puerto Rico addresses often include an urbanization name. The city name required by the USPS may not match the actual municipal boundaries (e.g., mail to NYC boroughs must use the borough name, not 'New York City', except for Manhattan). US territories are preferably addressed domestically (e.g., 'San Juan PR 00907'). Military and diplomatic mail use 'APO', 'FPO', or 'DPO' as the city and 'AA', 'AE', or 'AP' as the state."
Vietnam,"The address format is as follows: Name of addressee (if needed, name of the head of the family), House number and street name, Ward or town, District, City, Province, Country (if sent from abroad).","Vietnamese example:
Lê Văn Bình (mẹ là Lý Thị Hoa),
số 123A Trần Hưng Đạo,
phường Nguyễn Du,
quận Hai Bà Trưng,
thành phố Hà Nội

English example:
Mr Lê Văn Bình (mother is Lý Thị Hoa)
number 123A Trần Hưng Đạo street,
Nguyễn Du ward,
Hai Bà Trưng district,
Hà Nội city,
Việt Nam",Name of province is optional for municipalities and provinces which name are the same with their city counterparts.
